"assessid","stockid","stocklong","bioid","biovalue","bioyear","bionotes","bioshort","biolong","biounitsshort","biounitslong","sciname"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","A50max-yr","4","NULL","","A50max","Maximum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","A50min-yr","3","NULL","","A50min","Minimum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","F-AGE-yr-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","F-CALC-0-1-2","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","F-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","M-1/yr","0.25","NULL","Natural mortality set at 0.25 prior to 1993, after which disease indices implemented","M","Natural mortality","1/yr","per year","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-CALC-0-1","1","NULL","","MAT-CALC","Maturity 50% calculation: 0=by cohort,1=by age","0-1","0=by cohor or 1=by age","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-MODEL-option","Parameter","NULL","Maturity at ages 3 and 4 are estimated as parameters, maturity for ages 5+ set at 100%","MAT-MODEL","Maturity model option","option","option","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-REF-doctype","Hulson et al. 2008","NULL","","MAT-REF","Age at 50% maturity reference","doctype","Reference document for age at 50% maturity","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","MAT-SEX-sex","0","NULL","","MAT-SEX","Maturity sex: 0=both sexes,1=females only,2=males only,NA=sex unknown","sex","0=both sexes,1=females only,2=males only,NA=sex unknown","Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","REC-AGE-yr","3","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","REC-ESTIMATED-yr-yr","1980-2006","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","SSB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","TB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","TB-TYPE-0-1","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring Prince William Sound","Z-AGE-yr-yr","3 to 5+","NULL","With disease indices, two age groups are used to estimate natural mortality","Z-AGE","Ages used to compute total mortality","yr-yr","range of years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","A50M-yr","3.4","NULL","","A50M","Age at 50% maturity","yr","years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","A50max-yr","4","NULL","","A50max","Maximum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","A50min-yr","3","NULL","","A50min","Minimum age at 50% maturity (choose the age (in years or half years) closest to 50%)","yr","years","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","F-AGE-yr-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","F-CALC-0-1-2","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","F-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","Fecundity-N","AVAILABLE","NULL","Estimated from survey, 1971-2007","Fecundity","Fecundity","N","number of eggs","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","Fecundity-rel-eggs/g","AVAILABLE","NULL","Measured several times since 1971","Fecundity-rel","Relative fecundity","eggs/g","Total egg production per gram of ssb","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","M-1/yr","0.2","NULL","Estimated as parameter, split in 1998","M","Natural mortality","1/yr","per year","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-CALC-0-1","1","NULL","","MAT-CALC","Maturity 50% calculation: 0=by cohort,1=by age","0-1","0=by cohor or 1=by age","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-MODEL-option","Logisitc","NULL","Parameters for logistic function of maturity-at-age estimated","MAT-MODEL","Maturity model option","option","option","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-REF-doctype","Hulson 2007 (ch2)","NULL","","MAT-REF","Age at 50% maturity reference","doctype","Reference document for age at 50% maturity","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-SEX-sex","0","NULL","","MAT-SEX","Maturity sex: 0=both sexes,1=females only,2=males only,NA=sex unknown","sex","0=both sexes,1=females only,2=males only,NA=sex unknown","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","MAT-SLOPE-dimensionless","1.7","NULL","","MAT-SLOPE","Slope of maturity function","dimensionless","dimensionless","Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","REC-AGE-yr","3","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","REC-ESTIMATED-yr-yr","1978-2007","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","SSB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","TB-AGE-yr","3+","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"ADFG-HERRSITKA-1978-2007-COLLIE","HERRSITKA","Pacific herring Sitka","TB-TYPE-0-1","0","NULL","",NA,NA,NA,NA,"Clupea pallasii"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","Habitat-Habitat","pelagic","2007","","Habitat","Habitat, (pelagic marine; demersal marine; diadromous; wholly freshwater)","Habitat","habitat type","Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","MORATOR-yr-yr","1986-1991","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","MORATOR-yr-yr","1993-1999","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","MORATOR-yr-yr","2004-2006","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","REC-AGE-yr","1","2007","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","SSB-AGE-yr","2+","2007","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","SSBlim-MT","200000","2002","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","TB-AGE-yr","1+","2007","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","Capelin Barents Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2016-ICESIMP2018","CAPENOR","Capelin Barents Sea","REC-AGE-yr","1","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","Capelin Barents Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","Capelin Barents Sea","SSBlim-MT","2.00E+05","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","Capelin Barents Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Mallotus villosus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","A50S-yr","2.3","NULL","northern (southern is 1.5)","A50S","Age at 50% selectivity (half years acceptable)","yr","years","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","BH-h-dimensionless","0.99","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","BH-h-source-note","7","NULL","","BH-h-source","Source for BH-h","note","notes","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","Cpair-DISC-note","no","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","Cpair-RECT-note","no","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","F-AGE-yr","2 to 4","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","F-CALC-0-1-2","2","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","F-NOTE-note","Table 6.2.2.1. Calculated geometric mean for age 2-4.","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","F36%-1/yr","0.8","NULL","Table 7.2.1.1",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","Fmgt-1/yr","0.8","NULL","F36%-1/yr",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","Fmgt-type-refpt","F36%-1/yr","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","Habitat-Habitat","pelagic marine","NULL","","Habitat","Habitat, (pelagic marine; demersal marine; diadromous; wholly freshwater)","Habitat","habitat type","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","Linf-cm","30.16","NULL","Most recent value (2011). Table 2.3.1 shows yearly from 1947 through 2011","Linf","Asymptotic length in von Bertalanffy growth model","cm","centimeters","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","M-source-note","2","NULL","","M-source","Source for M","note","notes","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","MAX-AGE-yr","6","NULL","","MAX-AGE","Maximum age","yr","years","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","MAX-LEN-cm","39.4","NULL","Table 2.3.2, year 1973","MAX-LEN","Maximum length","cm","centimeters","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","MORATOR-yr-yr","NONE","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","R-NOTE-note","Figure 6.2.3.5","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","R0-E00","34367000000","NULL","bottom of p13. Used 1955 value from Table 6.2.3.1",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","REC-ESTIMATED-yr-yr","1959-2016","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","SPRF0-E00","922203","NULL","Table 2.5.1, first year (1955)",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","SSB-NOTE-note","Table 6.2.3.2","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","SSB36%-E00eggs","9.95E+13","NULL","Table 7.2.1.1",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","SSBmgt-E00eggs","9.95E+13","NULL","SSB36%-E00eggs",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","SSBmgt-type-refpt","SSB36%-E00eggs","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","statuslevel-note","age-structured model: time series and target reference points","NULL","","statuslevel","Level of abundance information provided in assessment","note","notes","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TAC-DISC-note","no","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TAC-NOTE-note","First TAC in 2013","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TAC-RECT-note","no","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TB-AGE-yr","0-6+","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TB-NOTE-note","Table 6.2.3.3","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TB-TYPE-0-1","0","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TL-DISC-note","no","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TL-NOTE-note","report further divides into northern and southern landings. Bait landing records back to 1955, but most reliable bait landing since 1985","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TL-RECT-note","no","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TN-AGE-yr","0-6+","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","TN-NOTE-note","Table 6.2.3.1","NULL","",NA,NA,NA,NA,"Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","VB-k-cm/T","0.47","NULL","Most recent value (2011). Table 2.3.1 shows yearly from 1947 through 2011","VB-k","k parameter in Von Bertalanffy growth function","cm/T","centimeters per unit time","Brevoortia tyrannus"
"ASMFC-MENATLAN-1940-2017-ASHBROOK","MENATLAN","Atlantic menhaden Atlantic","VB-t0-yr","-0.72","NULL","","VB-t0","t0 parameter in Von Bertalanffy growth function","yr","years","Brevoortia tyrannus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","ERmsy-calc-ratio","0.166690220463539","NULL","Calculated from TBmsy-MT and MSY-MT",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","ERmsybest-ratio","0.166690220463539","NULL","ERmsy-calc-ratio",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","Fmsy-1/yr","0.17","NULL","",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","Linf-cm","19.8","NULL","both sexes","Linf","Asymptotic length in von Bertalanffy growth model","cm","centimeters","Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","M-1/yr","0.66","NULL","","M","Natural mortality","1/yr","per year","Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","MSY-MT","2359","NULL","",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","MSYbest-MT","2359","NULL","MSY-MT",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","TBlim-MT","3130","NULL","total biomass, not spawning stock biomass",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","TBmsy-MT","14152","NULL","",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","TBmsybest-MT","14152","NULL","TBmsy-MT",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","TBpa-MT","4382","NULL","total biomass",NA,NA,NA,NA,"Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","VB-k-cm/T","0.31","NULL","","VB-k","k parameter in Von Bertalanffy growth function","cm/T","centimeters per unit time","Engraulis encrasicolus"
"CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI","ANCHMEDGSA16","Anchovy South of Sicily","VB-t0-yr","-2","NULL","","VB-t0","t0 parameter in Von Bertalanffy growth function","yr","years","Engraulis encrasicolus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","ERmsy-calc-ratio","0.163156762074584","NULL","Calculated from TBmsy-MT and MSY-MT",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","ERmsybest-ratio","0.163156762074584","NULL","ERmsy-calc-ratio",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","Fmsy-1/yr","0.16","NULL","",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","Linf-cm","21.4","NULL","both sexes","Linf","Asymptotic length in von Bertalanffy growth model","cm","centimeters","Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","LW-a-kg/cm","0.0028","NULL","both sexes","LW-a","Coefficient in length-weight relationship","kg/cm","kilograms per centimeters","Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","LW-b-dimensionless","3.37","NULL","both sexes","LW-b","Power in length-weight relationship","dimensionless","dimensionless","Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","MAX-LEN-cm","20","NULL","unsexed","MAX-LEN","Maximum length","cm","centimeters","Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","MSY-MT","5307","NULL","",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","MSYbest-MT","5307","NULL","MSY-MT",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","TBmsy-MT","32527","NULL","",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","TBmsybest-MT","32527","NULL","TBmsy-MT",NA,NA,NA,NA,"Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","VB-k-cm/T","0.4","NULL","both sexes","VB-k","k parameter in Von Bertalanffy growth function","cm/T","centimeters per unit time","Sardina pilchardus"
"CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI","SARDMEDGSA16","Sardine South of Sicily","VB-t0-yr","-1.8","NULL","both sexes","VB-t0","t0 parameter in Von Bertalanffy growth function","yr","years","Sardina pilchardus"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","A50M-yr","2.2","NULL","","A50M","Age at 50% maturity","yr","years","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","Linf-cm","14.8","NULL","","Linf","Asymptotic length in von Bertalanffy growth model","cm","centimeters","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","LW-a-g/cm","1.20E-05","NULL","","LW-a","Coefficient in length-weight relationship","g/cm","grams per centimeters","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","LW-b-dimensionless","2.868","NULL","","LW-b","Power in length-weight relationship","dimensionless","dimensionless","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","M-1/yr","0.473","NULL","","M","Natural mortality","1/yr","per year","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","MAX-AGE-yr","7","NULL","","MAX-AGE","Maximum age","yr","years","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","MAX-LEN-cm","14","NULL","","MAX-LEN","Maximum length","cm","centimeters","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","MAX-WGT-g","18.4","NULL","","MAX-WGT","Maximum weight","g","grams","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","MSY-MT","44652","NULL","",NA,NA,NA,NA,"Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","MSYbest-MT","44652","NULL","MSY-MT",NA,NA,NA,NA,"Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","REC-AGE-yr","0.18","NULL","",NA,NA,NA,NA,"Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","SSB-AGE-yr","2+","NULL","",NA,NA,NA,NA,"Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","VB-k-cm/T","0.238","NULL","","VB-k","k parameter in Von Bertalanffy growth function","cm/T","centimeters per unit time","Clupeonella engrauliformis"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Anchovy kilka Iranian Caspian Sea","VB-t0-yr","-1.34","NULL","","VB-t0","t0 parameter in Von Bertalanffy growth function","yr","years","Clupeonella engrauliformis"
